Date,Avg_Temp,Avg_Wind_Speed(mph),Precipitation(in)
01/01/2020,3.39,15.9,0.01
02/01/2020,5.61,8.3,0
03/01/2020,8.17,4.9,0.05
04/01/2020,7.83,6.8,0.32
05/01/2020,3.44,20.2,0.01
06/01/2020,3.22,11.9,0.02
07/01/2020,4.17,8.6,0
08/01/2020,1.67,18.5,0
09/01/2020,-1.56,11,0
10/01/2020,6.83,9.6,0
11/01/2020,13,10.5,0
12/01/2020,15.06,15.6,0.06
13/01/2020,5.28,8.5,0
14/01/2020,4.72,6.8,0
15/01/2020,7.39,8.2,0.07
16/01/2020,6.17,18.8,0.1
17/01/2020,-3.17,19.2,0.02
18/01/2020,-2.72,8.1,0
19/01/2020,3.17,16.3,0
20/01/2020,-3.44,17.3,0
21/01/2020,-2.89,9.2,0
22/01/2020,0.28,3.4,0
23/01/2020,4.17,4.3,0
24/01/2020,4.33,7.2,0
25/01/2020,5.72,15.5,0
26/01/2020,5.44,12.8,0.78
27/01/2020,4.72,13.3,0
28/01/2020,3.83,16.2,0
29/01/2020,1.67,12.1,0
30/01/2020,-0.72,8.1,0
31/01/2020,3.11,6.9,0
01/02/2020,3.67,4.8,0.01
02/02/2020,3.39,8.7,0.02
03/02/2020,8,8.2,0.05
04/02/2020,8.78,5.4,0
05/02/2020,4.89,10.5,0.01
06/02/2020,3.28,11.7,0.5
07/02/2020,4.39,17.1,0.19
08/02/2020,1.67,14,0.16
09/02/2020,2.28,10.4,0
10/02/2020,6.72,8.6,0.02
11/02/2020,6.5,8.3,0.54
12/02/2020,5.17,12.4,0.13
13/02/2020,4.06,7.7,0
14/02/2020,-1.06,17.5,0.13
15/02/2020,-4.83,9.8,0
16/02/2020,2.83,6.5,0
17/02/2020,6.5,7.3,0
18/02/2020,4.89,9.5,0
19/02/2020,5.56,14.5,0
20/02/2020,-0.11,13.3,0
21/02/2020,-1.5,10,0
22/02/2020,5,10.3,0
23/02/2020,8.11,8,0
24/02/2020,9.72,7.3,0
25/02/2020,8.56,6.7,0
26/02/2020,7.11,9.1,0.14
27/02/2020,4.78,21.3,0.46
28/02/2020,1.94,18.7,0
29/02/2020,-0.44,16.6,0
01/03/2020,1.94,13.4,0
02/03/2020,9,10.3,0
03/03/2020,11.33,10.1,0.01
04/03/2020,10.28,18.2,0.28
05/03/2020,7.11,12.9,0
06/03/2020,5.33,13,0
07/03/2020,5,14.7,0.14
08/03/2020,8.89,10.2,0
09/03/2020,15.33,11.1,0
10/03/2020,16,13.2,0
11/03/2020,10.06,8.5,0
12/03/2020,7,9,0
13/03/2020,12.78,15.2,0.17
14/03/2020,9.33,14.5,0.12
15/03/2020,8.06,9.4,0
16/03/2020,4.11,13.7,0
17/03/2020,8.83,8.4,0.08
18/03/2020,8.61,9.7,0.07
19/03/2020,7.94,9.9,1
20/03/2020,13.56,9.4,0.02
21/03/2020,8.56,13.2,0
22/03/2020,3.5,13.6,0
23/03/2020,4,14.8,0
24/03/2020,6.72,10.2,1.44
25/03/2020,6,15.2,0
26/03/2020,8.56,8.5,0.01
27/03/2020,14.17,6.5,0
28/03/2020,7.89,11.7,0
29/03/2020,7.5,18.4,0.42
30/03/2020,7.61,7.5,0.01
31/03/2020,6.72,8.8,0.14
01/04/2020,7.5,12,0
02/04/2020,9.56,19.5,0
03/04/2020,9.78,18.9,0
04/04/2020,10.5,9,0.08
05/04/2020,11.56,6.1,0
06/04/2020,13.22,9,0.06
07/04/2020,14.11,9.6,0
08/04/2020,12.06,7.3,0.23
09/04/2020,11.56,14.4,0
10/04/2020,6.78,21.6,0.27
11/04/2020,8.78,14.2,0
12/04/2020,11.89,10.3,0
13/04/2020,14.67,19.3,0.61
14/04/2020,11.39,12.7,1.11
15/04/2020,8.89,12.7,0
16/04/2020,7.56,18.5,0
17/04/2020,6.61,10.9,0
18/04/2020,6.83,11.1,0.18
19/04/2020,11.5,12.4,0.08
20/04/2020,11.5,7.1,0
21/04/2020,10.44,15.7,0
22/04/2020,6.83,18.8,0.33
23/04/2020,7.28,7.6,0
24/04/2020,8.33,12.2,0.41
25/04/2020,11.78,5.4,0.2
26/04/2020,8.67,16.2,0
27/04/2020,7.22,14.1,0.07
28/04/2020,11.28,9.4,0
29/04/2020,10,12.1,0
30/04/2020,12.89,17.8,0.23
01/05/2020,14.5,8.5,0.73
02/05/2020,17.56,11.8,0.14
03/05/2020,20.39,9.8,0.03
04/05/2020,16.94,14.9,0
05/05/2020,12.61,11.1,0
06/05/2020,9.67,10,0
07/05/2020,14.33,10,0.03
08/05/2020,9.33,9.1,0
09/05/2020,5.22,22.2,0.41
10/05/2020,12.06,15.5,0
11/05/2020,12.06,13.6,0
12/05/2020,11.11,17.1,0.1
13/05/2020,11.22,10.8,0
